
Box(-inf, inf, (111,), float64)
global_step=34058, return_per_episode=-1423.501708984375
SPS: 440
global_step=35058, return_per_episode=-1483.4019775390625
global_step=35163, return_per_episode=-124.74880981445312
global_step=35282, return_per_episode=-115.4630355834961
global_step=35316, return_per_episode=-39.47863006591797
global_step=35364, return_per_episode=-96.5897445678711
global_step=35444, return_per_episode=-94.41665649414062
global_step=35470, return_per_episode=-15.937446594238281
global_step=35495, return_per_episode=-27.978351593017578
global_step=35510, return_per_episode=-21.7403564453125
global_step=36510, return_per_episode=-1256.77392578125
global_step=36527, return_per_episode=-13.411470413208008
global_step=36571, return_per_episode=-53.50829315185547
global_step=36647, return_per_episode=-138.31443786621094
global_step=36746, return_per_episode=-132.94932556152344
global_step=36783, return_per_episode=-16.9316463470459
global_step=36847, return_per_episode=-83.7708511352539
SPS: 441
global_step=36921, return_per_episode=-62.09776306152344
global_step=36973, return_per_episode=-61.13778305053711
global_step=37018, return_per_episode=-24.795642852783203
global_step=37057, return_per_episode=-35.77790451049805
global_step=37068, return_per_episode=-11.856318473815918
global_step=37151, return_per_episode=-126.77315521240234
global_step=37218, return_per_episode=-48.31538391113281
global_step=37268, return_per_episode=-79.1888656616211
global_step=37360, return_per_episode=-115.16948699951172
global_step=37395, return_per_episode=-11.601239204406738
global_step=37492, return_per_episode=-168.52439880371094
global_step=37569, return_per_episode=-132.76675415039062
global_step=37632, return_per_episode=-104.63732147216797
global_step=37709, return_per_episode=-113.13961029052734
global_step=37895, return_per_episode=-222.79263305664062
global_step=37982, return_per_episode=-174.6197509765625
global_step=38053, return_per_episode=-90.2552261352539
global_step=38108, return_per_episode=-63.750125885009766
global_step=38263, return_per_episode=-163.11614990234375
global_step=38301, return_per_episode=-60.9626579284668
global_step=38425, return_per_episode=-172.44525146484375
global_step=38518, return_per_episode=-112.93085479736328
global_step=38540, return_per_episode=-16.89202880859375
global_step=38625, return_per_episode=-54.2406005859375
global_step=38737, return_per_episode=-115.09278106689453
global_step=38755, return_per_episode=-23.997913360595703
global_step=38797, return_per_episode=-57.72510528564453
global_step=38824, return_per_episode=-35.02424240112305
SPS: 433
global_step=38926, return_per_episode=-145.23463439941406
global_step=38939, return_per_episode=-23.154088973999023
global_step=39004, return_per_episode=-114.56761169433594
global_step=39022, return_per_episode=-26.13058090209961
global_step=39087, return_per_episode=-141.31817626953125
global_step=39112, return_per_episode=-47.15609359741211
global_step=39274, return_per_episode=-255.6990203857422
global_step=40274, return_per_episode=-1215.7584228515625
global_step=40288, return_per_episode=-11.553131103515625
global_step=40303, return_per_episode=-33.728328704833984
global_step=40370, return_per_episode=-73.785400390625
global_step=40403, return_per_episode=-37.30946731567383
global_step=40449, return_per_episode=-78.17853546142578
global_step=40463, return_per_episode=-17.101993560791016
global_step=40626, return_per_episode=-109.80113983154297
global_step=40650, return_per_episode=-27.09768295288086
global_step=40671, return_per_episode=-33.95539093017578
SPS: 434
global_step=41671, return_per_episode=-1165.37744140625
global_step=41698, return_per_episode=-22.547107696533203
global_step=41759, return_per_episode=-75.42489624023438
global_step=41790, return_per_episode=-46.37879180908203
global_step=41850, return_per_episode=-71.7518310546875
global_step=41992, return_per_episode=-113.86804962158203
global_step=42011, return_per_episode=-17.869657516479492
global_step=42043, return_per_episode=-49.103511810302734
global_step=42118, return_per_episode=-44.25574493408203
global_step=42212, return_per_episode=-112.20572662353516
global_step=42306, return_per_episode=-90.119873046875
global_step=42338, return_per_episode=-48.6781005859375
global_step=42382, return_per_episode=-72.62237548828125
global_step=42459, return_per_episode=-41.59452819824219
global_step=42471, return_per_episode=-17.783666610717773
global_step=42557, return_per_episode=-91.9112548828125
global_step=42612, return_per_episode=-99.74566650390625
global_step=42701, return_per_episode=-77.76150512695312
global_step=42869, return_per_episode=-217.08810424804688
global_step=42916, return_per_episode=-66.66146850585938
global_step=42931, return_per_episode=-5.784484386444092
global_step=42947, return_per_episode=-7.724674224853516
global_step=43008, return_per_episode=-36.55059051513672
SPS: 433
