
Box(-inf, inf, (111,), float64)
global_step=35282, return_per_episode=-18.62606430053711
global_step=35305, return_per_episode=-27.195453643798828
global_step=35377, return_per_episode=-75.0672836303711
global_step=35389, return_per_episode=-13.993760108947754
global_step=35431, return_per_episode=-24.8883113861084
global_step=36431, return_per_episode=-886.2713012695312
global_step=36466, return_per_episode=-31.35422134399414
global_step=36474, return_per_episode=-2.405607223510742
global_step=36600, return_per_episode=-71.43718719482422
global_step=36656, return_per_episode=-52.95571517944336
global_step=36735, return_per_episode=-77.40623474121094
global_step=36760, return_per_episode=-22.03127670288086
SPS: 247
global_step=36891, return_per_episode=-174.15550231933594
global_step=36919, return_per_episode=-38.63898468017578
global_step=36989, return_per_episode=-63.38311004638672
global_step=37008, return_per_episode=-5.009851932525635
global_step=37067, return_per_episode=-38.480159759521484
global_step=37077, return_per_episode=-2.358823776245117
global_step=37134, return_per_episode=-66.41618347167969
global_step=37147, return_per_episode=-20.032808303833008
global_step=37220, return_per_episode=-46.60030746459961
global_step=38220, return_per_episode=-1043.4285888671875
SPS: 250
global_step=39220, return_per_episode=-828.8170776367188
global_step=39244, return_per_episode=-28.777616500854492
global_step=40244, return_per_episode=-914.2074584960938
global_step=40448, return_per_episode=-168.98910522460938
global_step=40463, return_per_episode=-4.58159065246582
global_step=40496, return_per_episode=-46.91801834106445
global_step=40566, return_per_episode=-30.562063217163086
global_step=40579, return_per_episode=-15.678266525268555
global_step=40672, return_per_episode=-96.02777862548828
global_step=40697, return_per_episode=-22.725597381591797
global_step=40717, return_per_episode=-13.269835472106934
global_step=40748, return_per_episode=-46.04911422729492
global_step=40781, return_per_episode=-50.78825378417969
global_step=40805, return_per_episode=-24.906925201416016
SPS: 253
global_step=41011, return_per_episode=-89.14146423339844
global_step=41102, return_per_episode=-27.037273406982422
global_step=41119, return_per_episode=-1.2756321430206299
global_step=41267, return_per_episode=-124.18224334716797
global_step=41284, return_per_episode=-25.883026123046875
global_step=41338, return_per_episode=-55.2852668762207
global_step=41382, return_per_episode=3.380727767944336
global_step=41441, return_per_episode=-91.83441162109375
global_step=41487, return_per_episode=-44.46739196777344
global_step=42487, return_per_episode=-882.5504150390625
global_step=42525, return_per_episode=-30.28264617919922
global_step=42584, return_per_episode=-58.773258209228516
global_step=42657, return_per_episode=-52.663753509521484
global_step=42718, return_per_episode=-50.902156829833984
global_step=42757, return_per_episode=-34.65449142456055
global_step=42878, return_per_episode=-107.1995620727539
global_step=42909, return_per_episode=-22.272748947143555
global_step=42929, return_per_episode=-16.308469772338867
global_step=42941, return_per_episode=-22.166614532470703
