
Box(-inf, inf, (111,), float64)
global_step=36287, return_per_episode=374.98016357421875
global_step=36446, return_per_episode=476.373779296875
global_step=36489, return_per_episode=112.65486145019531
global_step=36602, return_per_episode=352.30230712890625
global_step=36727, return_per_episode=409.58013916015625
global_step=36777, return_per_episode=163.3324737548828
global_step=36803, return_per_episode=55.217411041259766
Time Taken: 347
global_step=36865, return_per_episode=234.0950469970703
global_step=36911, return_per_episode=158.21617126464844
global_step=36944, return_per_episode=114.6738052368164
global_step=37088, return_per_episode=442.59429931640625
global_step=37263, return_per_episode=483.80035400390625
global_step=37297, return_per_episode=107.63212585449219
global_step=37363, return_per_episode=201.35350036621094
global_step=37402, return_per_episode=147.54690551757812
global_step=37476, return_per_episode=245.39759826660156
global_step=37538, return_per_episode=228.8468475341797
global_step=37578, return_per_episode=115.39192962646484
global_step=37613, return_per_episode=115.25517272949219
global_step=37846, return_per_episode=749.0667114257812
global_step=37890, return_per_episode=148.91748046875
global_step=37940, return_per_episode=146.19395446777344
global_step=38134, return_per_episode=643.1734008789062
global_step=38362, return_per_episode=756.9554443359375
global_step=38372, return_per_episode=18.5636043548584
global_step=38448, return_per_episode=209.3065643310547
global_step=38571, return_per_episode=362.7877502441406
global_step=38654, return_per_episode=282.53082275390625
global_step=38730, return_per_episode=288.1834411621094
global_step=38809, return_per_episode=268.182861328125
global_step=38843, return_per_episode=62.185585021972656
global_step=38907, return_per_episode=160.41773986816406
Time Taken: 350
global_step=38967, return_per_episode=226.41395568847656
global_step=39103, return_per_episode=422.42828369140625
global_step=39194, return_per_episode=280.3449401855469
global_step=39303, return_per_episode=270.4096374511719
global_step=39384, return_per_episode=253.07762145996094
global_step=39435, return_per_episode=157.51568603515625
global_step=39485, return_per_episode=94.05391693115234
global_step=39537, return_per_episode=137.64114379882812
global_step=39558, return_per_episode=55.22720718383789
global_step=39661, return_per_episode=222.28346252441406
global_step=39772, return_per_episode=314.7665710449219
global_step=39849, return_per_episode=202.59727478027344
global_step=39968, return_per_episode=379.5213928222656
global_step=40048, return_per_episode=314.49200439453125
global_step=40136, return_per_episode=279.43280029296875
global_step=40236, return_per_episode=325.1363525390625
global_step=40296, return_per_episode=239.95875549316406
global_step=40409, return_per_episode=319.59173583984375
global_step=40444, return_per_episode=123.97525024414062
global_step=40572, return_per_episode=405.8955993652344
global_step=40667, return_per_episode=312.82208251953125
global_step=40821, return_per_episode=471.9864807128906
global_step=40852, return_per_episode=77.33258819580078
global_step=40870, return_per_episode=52.806175231933594
Time Taken: 353
global_step=41174, return_per_episode=914.8509521484375
global_step=41208, return_per_episode=108.00041961669922
global_step=41265, return_per_episode=184.9373779296875
global_step=41364, return_per_episode=198.8977508544922
global_step=41425, return_per_episode=167.6848907470703
global_step=41517, return_per_episode=287.83489990234375
global_step=41576, return_per_episode=178.48031616210938
global_step=41641, return_per_episode=222.28858947753906
global_step=41773, return_per_episode=399.639892578125
global_step=41799, return_per_episode=92.44056701660156
global_step=41949, return_per_episode=303.5640563964844
global_step=41989, return_per_episode=78.80496978759766
global_step=42109, return_per_episode=281.93255615234375
global_step=42178, return_per_episode=176.02903747558594
global_step=42308, return_per_episode=324.55523681640625
global_step=42365, return_per_episode=174.8310546875
global_step=42392, return_per_episode=107.27354431152344
global_step=42476, return_per_episode=228.78903198242188
global_step=42548, return_per_episode=185.06182861328125
global_step=42605, return_per_episode=127.43645477294922
global_step=42614, return_per_episode=25.058414459228516
global_step=42647, return_per_episode=95.87433624267578
global_step=42710, return_per_episode=205.94398498535156
global_step=42785, return_per_episode=236.5892333984375
global_step=42937, return_per_episode=568.9507446289062
global_step=43002, return_per_episode=211.21188354492188
Time Taken: 354
global_step=43034, return_per_episode=123.70101928710938
global_step=43318, return_per_episode=846.4430541992188
